a52dec 0.7.4-8
aalib 1.4rc5-10
acl 2.2.52-2
adb android.4.4.2_r2-1
adbextractor 20140630-1
alsa-lib 1.0.28-1
alsa-plugins 1.0.28-2
android-udev r116-1
apr 1.5.1-1
apr-util 1.5.4-1
archlinux-keyring 20140908-1
archlinux-xdg-menu 0.7.6.2-1
aria2 1.18.8-1
aspell 0.60.6.1-2
aspell-en 7.1-3
at-spi2-atk 2.12.1-1
at-spi2-core 2.12.0-1
atk 2.12.0-1
atkmm 2.22.7-1
attr 2.4.47-1
autoconf 2.69-2
automake 1.14.1-1
avahi 0.6.31-13
awesome 3.5.5-1
awmtt 0.3-2
bash 4.3.030-1
bash-completion 2.1-5
bc 1.06.95-1
binutils 2.24-7
bison 3.0.2-1
bitcoin-daemon 0.9.3-1
bitcoin-qt 0.9.3-1
bleachbit 1.4-1
bluez-libs 5.24-1
boost 1.56.0-1
boost-libs 1.56.0-1
bpython-git 0.12.r1440.gfd889b3-1
brother-ql500-cupswrapper 1.0.1-6
brother-ql500-lpr 1.0.1-6
bzip2 1.0.6-5
bzr 2.6.0-1
c-ares 1.10.0-2
ca-certificates 20140325-2
ca-certificates-cacert 20140824-1
ca-certificates-java 20140324-4
ca-certificates-mozilla 3.17.1-1
ca-certificates-utils 20140325-2
cabextract 1.4-3
cairo-infinality-ultimate 1.13.1-1
cairo-perl 1.104-2
cairomm 1.10.0-3
calibre 2.5.0-1
cdparanoia 10.2-5
celt 0.11.3-2
celt0.5.1 0.5.1.3-3
checkupdates-cron-git 20130513072851.f81219f-1
chmlib 0.40-4
chromium 38.0.2125.101-1
cifs-utils 6.3-2
clang 3.5.0-2.1
clisp 2.49-4
cloog 0.18.1-3
clucene 2.3.3.4-8
cmake 3.0.2-1
codecs64 20071007-1
colord 1.2.3-1
colordiff 1.0.13-2
compositeproto 0.4.2-3
confuse 2.7-3
conkyforecast 2.24-1
cope-git 168.a0e6692-1
coreutils 8.23-1
cower 11-3
cracklib 2.9.1-1
cronie 1.4.11-2
cryptsetup 1.6.6-1
cups 1.7.5-1
cups-filters 1.0.60-1
curl 7.38.0-2
cvs 1.11.23-9
damageproto 1.2.1-3
db 5.3.28-1
dbus 1.8.8-1
dbus-glib 0.102-1
dconf 0.20.0-1
desktop-file-utils 0.22-1
device-mapper 2.02.111-1
dex 0.7-1
dhcpcd 6.5.0-1
diffutils 3.3-2
dirmngr 1.1.1-3
djvulibre 3.5.25.3-2
dmxproto 2.3.1-3
dnsmasq 2.72-1
dnssec-anchors 20140629-1
dosfstools 3.0.26-1
dotconf 1.3-4
e2fsprogs 1.42.12-1
ecryptfs-utils 104-1
elfutils 0.159-1
elinks 0.13-15
emacs 24.3-7
enca 1.15-1
enchant 1.6.0-5
evince 3.12.2-1
exiv2 0.24-1
expac 3-1
expat 2.1.0-3
extra-cmake-modules 1.3.0-1
faac 1.28-5
faad2 2.7-4
fakeroot 1.20.1-1
farstream-0.1 0.1.2-4
fbreader 0.99.4-4
fbset 2.1-5
ffmpeg 1:2.4.2-1
ffmpeg-compat 1:0.10.15-1
fftw 3.3.4-1
file 5.19-1
filesystem 2014.07-1
findutils 4.4.2-6
firefox 32.0.3-1
fixesproto 5.0-3
flac 1.3.0-4
flake8 1:2.2.4-1
flashplugin 11.2.202.406-1
flex 2.5.39-1
fltk 1.3.2-5
font-misc-ethiopic 1.0.3-1
fontconfig-infinality-ultimate 2.11.1-20
fontsproto 2.1.3-1
freetype2-infinality-ultimate 2.5.3-12
fribidi 0.19.6-2
fuse 2.9.3-2
gawk 4.1.1-1
gc 7.4.2-2
gcc-libs-multilib 4.9.1-2
gcc-multilib 4.9.1-2
gconf 3.2.6-3
gconfmm 2.28.3-2
gd 2.1.0-3
gdb 7.8-2
gdbm 1.11-1
gdk-pixbuf2 2.30.8-1
geoclue 0.12.99-2
geoip 1.6.2-1
geoip-database 20140902-1
get_iplayer-git r683.e229d14-1
gettext 0.19.2-2
ghostscript 9.15-1
giblib 1.2.4-6
giflib 5.1.0-1
git 2.1.2-1
gksu 2.0.2-5
glib-networking 2.40.1-1
glib-perl 1.305-1
glib2 2.40.0-2
glibc 2.20-2
glibmm 2.40.0-1
glu 9.0.0-3
gmp 6.0.0-1
gnome-icon-theme 3.12.0-2
gnome-icon-theme-symbolic 3.12.0-2
gnupg 2.0.26-1
gnutls 3.3.8-2
gobject-introspection 1.40.0-1
gperf 3.0.4-5
gpgme 1.5.1-1
gpicview 0.2.4-1
gpm 1.20.7-4
graphite 1:1.2.4-1
grep 2.20-1
groff 1.22.2-7
gsasl 1.8.0-4
gsettings-desktop-schemas 3.12.2-1
gsfonts 1.0.7pre44-4
gsm 1.0.13-8
gst-libav 1.4.3-1
gst-plugins-base 1.4.3-1
